Form | Field / Question | Type | Required | Source / Logic | Implementation Note
Form 1 – Nursing Services | Evaluator Name | Choice/Dropdown | Yes | Evaluator Master | Lookup designation + department
Form 1 – Nursing Services | Evaluation Date | Choice/Date | Yes | Master Calendar | Production: show only today's scheduled date
Form 1 – Nursing Services | Vendor | Read-only / hidden | Yes | Evaluation Date → Vendor | Never allow manual vendor selection in production
Form 1 – Nursing Services | Designation | Read-only | Yes | Evaluator Name → Designation | Auto-populated
Form 1 – Nursing Services | Department | Read-only | Yes | Evaluator Name → Department | Auto-populated
Form 1 – Nursing Services | Clinical documentation – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 15.0%
Form 1 – Nursing Services | Clinical documentation – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 1 – Nursing Services | Medication administration (drugs and infusion) – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 15.0%
Form 1 – Nursing Services | Medication administration (drugs and infusion) – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 1 – Nursing Services | Care plans – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 14.0%
Form 1 – Nursing Services | Care plans – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 1 – Nursing Services | Orders – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 14.0%
Form 1 – Nursing Services | Orders – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 1 – Nursing Services | Alerts/notifications – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 14.0%
Form 1 – Nursing Services | Alerts/notifications – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 1 – Nursing Services | Patient records – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 14.0%
Form 1 – Nursing Services | Patient records – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 1 – Nursing Services | Usability – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 14.0%
Form 1 – Nursing Services | Usability – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 2 – Oncology Services | Evaluator Name | Choice/Dropdown | Yes | Evaluator Master | Lookup designation + department
Form 2 – Oncology Services | Evaluation Date | Choice/Date | Yes | Master Calendar | Production: show only today's scheduled date
Form 2 – Oncology Services | Vendor | Read-only / hidden | Yes | Evaluation Date → Vendor | Never allow manual vendor selection in production
Form 2 – Oncology Services | Designation | Read-only | Yes | Evaluator Name → Designation | Auto-populated
Form 2 – Oncology Services | Department | Read-only | Yes | Evaluator Name → Department | Auto-populated
Form 2 – Oncology Services | Patient journey – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 20.0%
Form 2 – Oncology Services | Patient journey – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 2 – Oncology Services | Treatment planning – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 20.0%
Form 2 – Oncology Services | Treatment planning – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 2 – Oncology Services | Chemotherapy workflows and protocols – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 20.0%
Form 2 – Oncology Services | Chemotherapy workflows and protocols – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 2 – Oncology Services | Medication/order management – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 20.0%
Form 2 – Oncology Services | Medication/order management – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 2 – Oncology Services | Documentation and follow-up – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 20.0%
Form 2 – Oncology Services | Documentation and follow-up – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 3 – Cardiovascular Services | Evaluator Name | Choice/Dropdown | Yes | Evaluator Master | Lookup designation + department
Form 3 – Cardiovascular Services | Evaluation Date | Choice/Date | Yes | Master Calendar | Production: show only today's scheduled date
Form 3 – Cardiovascular Services | Vendor | Read-only / hidden | Yes | Evaluation Date → Vendor | Never allow manual vendor selection in production
Form 3 – Cardiovascular Services | Designation | Read-only | Yes | Evaluator Name → Designation | Auto-populated
Form 3 – Cardiovascular Services | Department | Read-only | Yes | Evaluator Name → Department | Auto-populated
Form 3 – Cardiovascular Services | Clinical documentation – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 20.0%
Form 3 – Cardiovascular Services | Clinical documentation – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 3 – Cardiovascular Services | Investigations – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 20.0%
Form 3 – Cardiovascular Services | Investigations – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 3 – Cardiovascular Services | Orders – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 3 – Cardiovascular Services | Orders – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 3 – Cardiovascular Services | Procedures/surgeries – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 20.0%
Form 3 – Cardiovascular Services | Procedures/surgeries – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 3 – Cardiovascular Services | Results and follow-up – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 3 – Cardiovascular Services | Results and follow-up – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 3 – Cardiovascular Services | Integration with cardiac monitors – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 20.0%
Form 3 – Cardiovascular Services | Integration with cardiac monitors – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 4 – Laboratory Services and Blood Bank | Evaluator Name | Choice/Dropdown | Yes | Evaluator Master | Lookup designation + department
Form 4 – Laboratory Services and Blood Bank | Evaluation Date | Choice/Date | Yes | Master Calendar | Production: show only today's scheduled date
Form 4 – Laboratory Services and Blood Bank | Vendor | Read-only / hidden | Yes | Evaluation Date → Vendor | Never allow manual vendor selection in production
Form 4 – Laboratory Services and Blood Bank | Designation | Read-only | Yes | Evaluator Name → Designation | Auto-populated
Form 4 – Laboratory Services and Blood Bank | Department | Read-only | Yes | Evaluator Name → Department | Auto-populated
Form 4 – Laboratory Services and Blood Bank | Test ordering – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 4 – Laboratory Services and Blood Bank | Test ordering – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 4 – Laboratory Services and Blood Bank | Specimen collection – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 4 – Laboratory Services and Blood Bank | Specimen collection – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 4 – Laboratory Services and Blood Bank | Processing – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 4 – Laboratory Services and Blood Bank | Processing – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 4 – Laboratory Services and Blood Bank | Validation – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 4 – Laboratory Services and Blood Bank | Validation – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 4 – Laboratory Services and Blood Bank | Reporting – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 15.0%
Form 4 – Laboratory Services and Blood Bank | Reporting – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 4 – Laboratory Services and Blood Bank | LIS functionality and interoperability – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 4 – Laboratory Services and Blood Bank | LIS functionality and interoperability – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 4 – Laboratory Services and Blood Bank | Integration with lab equipment – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 4 – Laboratory Services and Blood Bank | Integration with lab equipment – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 4 – Laboratory Services and Blood Bank | B2B – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 4 – Laboratory Services and Blood Bank | B2B – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 4 – Laboratory Services and Blood Bank | Blood Bank – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 15.0%
Form 4 – Laboratory Services and Blood Bank | Blood Bank – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 5 – Radiology and Nuclear Medicine | Evaluator Name | Choice/Dropdown | Yes | Evaluator Master | Lookup designation + department
Form 5 – Radiology and Nuclear Medicine | Evaluation Date | Choice/Date | Yes | Master Calendar | Production: show only today's scheduled date
Form 5 – Radiology and Nuclear Medicine | Vendor | Read-only / hidden | Yes | Evaluation Date → Vendor | Never allow manual vendor selection in production
Form 5 – Radiology and Nuclear Medicine | Designation | Read-only | Yes | Evaluator Name → Designation | Auto-populated
Form 5 – Radiology and Nuclear Medicine | Department | Read-only | Yes | Evaluator Name → Department | Auto-populated
Form 5 – Radiology and Nuclear Medicine | Investigation ordering – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 25.0%
Form 5 – Radiology and Nuclear Medicine | Investigation ordering – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 5 – Radiology and Nuclear Medicine | Reporting – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 25.0%
Form 5 – Radiology and Nuclear Medicine | Reporting – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 5 – Radiology and Nuclear Medicine | Integration with RIS and PACS – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 25.0%
Form 5 – Radiology and Nuclear Medicine | Integration with RIS and PACS – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 5 – Radiology and Nuclear Medicine | B2B/Referrals – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 25.0%
Form 5 – Radiology and Nuclear Medicine | B2B/Referrals – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 6 – General Medical & Surgical Services, and Pharmacy | Evaluator Name | Choice/Dropdown | Yes | Evaluator Master | Lookup designation + department
Form 6 – General Medical & Surgical Services, and Pharmacy | Evaluation Date | Choice/Date | Yes | Master Calendar | Production: show only today's scheduled date
Form 6 – General Medical & Surgical Services, and Pharmacy | Vendor | Read-only / hidden | Yes | Evaluation Date → Vendor | Never allow manual vendor selection in production
Form 6 – General Medical & Surgical Services, and Pharmacy | Designation | Read-only | Yes | Evaluator Name → Designation | Auto-populated
Form 6 – General Medical & Surgical Services, and Pharmacy | Department | Read-only | Yes | Evaluator Name → Department | Auto-populated
Form 6 – General Medical & Surgical Services, and Pharmacy | Clinical documentation – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 6 – General Medical & Surgical Services, and Pharmacy | Clinical documentation – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
